filename,lyrics,genre
blues.00000.txt,"One bourbon, one scotch, and one beer
Well, my baby, she gone, gone tonight
I ain't seen the girl since night before last
I wanna get drunk, get off of my mind
One bourbon, one scotch, and one beer
And I sit there
Get stoned
Mellow
Stoned, feelin' good
Real mellow
Dreamin'
After a while, I looked down the bar
At the bartender
I said, ""Hey, what do you want?""
One bourbon, one scotch, and one beer
Well, my baby, she gone, gone tonight
I ain't seen the baby since night before last
I wanna get drunk, get off of my mind
One bourbon, one scotch, and one beer
Ah-ha, yeah, uh-m
I'm gonna sit there, I was tastin'
Sippin', gettin' rolling
And gettin' a little dizzy
Couldn't hardly see
The bartender
Couldn't hardly sip
On the bar stool
I was rockin' and I was dizzy
And after a while, I looked on the wall
At the old clock
By that time eleven o'clock
Gettin' a little late
And I looked down the bar
At the bartender
I said, ""Hey, what do you want?""
One bourbon, one scotch, and one beer
Well, my baby, she gone, gone tonight
I ain't seen my baby since night before last
I wanna get drunk, get off of my mind
One bourbon, one scotch, and one beer
Ah-ha, yeah, yes, sir
And I sit there
At the bar
Uh-m, drinkin'
And after a while, I looked down the bar
At the bartender
Then after I looked down the bar, I looked on the wall
At the old clock
By that time, when the last call for alcohol
Was a quarter to two
Then I looked down the bar
At the bartender
I said, ""Hey, what do you want?""
One bourbon, one scotch, and one beer
",blues
blues.00001.txt,"I'm in the mood baby, I'm in the mood for love
I'm in the mood baby, I'm in the mood for love
I'm in the mood, I'm in the mood, baby, I'm in the mood for love

I said night time is the right time, to be with the one you love
You know when night come baby, God know, you're so far away
I'm in the mood, I'm in the mood baby, I'm in the mood for love
I'm in the mood, in the mood, baby, in the mood for love

I said yes, my mama told me, to leave that girl alone
But my mama didn't know, God know, girl was puttin' down
I'm in the mood, I'm in the mood baby, in the mood for love
I'm in the mood, I'm in the mood, baby, in the mood for love
",blues
blues.00002.txt,"Think twice before you go, baby, this will be the end
Think twice before you go, baby, this will be the end
You done leave me one time, baby you'll leave again
Dig in and suffer with me, an' I know you paid your dues
Dig in and suffer with me baby, an' I know you paid your dues
You done leave me when I need you, then I know you stand accused
Doing the man who loves you wrong
Breaking the heart you should be ruling
Doing the man who loves you wrong
I go for a lot of things, but you're a little too strong
Think twice before you go, baby this will be the end
Think twice before you go, baby this will be the end
You done leave me one time, baby, you'll leave again
Ha
",blues
blues.00003.txt,"...A little thing I'm going to do called ""I'm bad like Jesse James:""

I'm bad, I'm bad, like Jesse James, uh-uh
I had a friend one time
'least I thought I did
He come to me, said, Johnny
I said what, man?
I want dough
I said, yeah
I'd taken the cat in
Get him a place to stay
And I found out
He goin' around town
Telling everybody that he
He got my wife, heh
And I gets man
I goes to the cat
Like a good guy should
I said look man
I'm gonna warn you
Just one time
Next time I warn you
I'mma use my gun

'Cause I'm mad, I'm bad, like Jesse James

I'm so mad, I'm so mad!
I'm gonna run you this morning
I got three boys
Do my dirty work
Now you don't see me
On the big balls
I do the [pay, now?]
After they take care of you
In their own way
They may shoot you
They may cut you
They may drown you
I just don't know
I don't care!
As long as they take care of you
In their own way

I'm so mad, I'm bad, this mornin', like Jesse James
They're gonna take you right down
By the riverside
Now four is goin' down
And only three coming back
You read between the lines
What's gonna happen to you

'Cause I'm mad, I'm bad, like Jesse James
They gonna tie your hands
They gonna tie your feet
They gonna gag your throat
Where you can't holla none
And crying won't help you none
They gonna send you in the water
Got the bubbles coming up
Ooo! (grrr, rrr!)

Aww yea! I'm so mad!
",blues
blues.00004.txt,"Well my mama she didn't 'low me, just to stay out all night long, oh Lord
Well my mama didn't 'low me, just to stay out all night long
I didn't care what she didn't 'low, I would
Boogie-woogie
Anyhow
When I first came to town people, I was walkin' down Hastings Street

Everybody was talkin' about, the Henry Swing Club
I decided I drop in there that night
When I got there, I say, ""Yes, people""
They was really havin' a ball!
Yes, I know
Boogie Chillun

One night I was layin' down
I heard mama 'n papa talkin'
I heard papa tell mama, let that boy boogie-woogie
It's in him, and it got to come out
And I felt so good
Went on boogie'n just the same
",blues
blues.00005.txt,"Sugar mama, sugar mama, sugar mama please come back to me
Sugar mama, sugar mama, sugar mama please come back to me
Bring me my granulated sugar, sugar mama, sugar mama ease my misery

You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this new grade of sugar, sugar mama, an you done made me love it too
You've got this granulated sugar, sugar mama, ain't nobody else got, but you

They been braggin' 'bout your sugar, sugar mama, been braggin' all over town
They been braggin' 'bout your sugar, sugar mama, braggin' all over town
Everywhere i go sugar mama, sugar mama you can hear your name
Read them crazy about you sugar mama
Because you ease my worried mind
Read them crazy about you sugar mama
Because you ease my worried mind
You got something something sugar mama
Ain't nobody else got but you

Now, the bootleggers want you to sell 'em enough to make whiskey
But you won't sell 'em about four or five pounds

I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
You what i meant about that sugar mama
I like my coffee sweet early in the mornin', you know, an I'm crazy 'bout my tea at night
Don't get my sugar three times a day, oh, Lord
You don't mean you just can't get along right
Then I don't feel right
",blues
blues.00006.txt,"My baby left me this morning
People just around four o'clock
My baby left me this morning
People just around four o'clock
She left me dreamin' dreamin'
People then I woke up crying

Me and my baby don't get along so well
We don't do a doggone thing but fuss and fight all
Most all the time, she left me to dream
People dream most all the time

Ever since my baby left me
I don't do a doggone thing but dream
Yes my nightmares are killing me now

You know I lay down dreamin'
People God knows that I wake up crying

Yes since my baby's been gone
People I just can't eat a bite
I'm gonna get up in the morning
Going down that lonesome road
I don't find my baby
People I won't be back no more
",blues
blues.00007.txt,"It's a low-down dog, a dirty Groundhog that rootin' round my in back door
Yes if I catch him there rootin' there [man?], Lord, he won't root there no more

Yes he stand and he watch me, in the morning when I leave home
Yes he stand and he watch me, Lord, in the morning when I leave home
Then when I leave home in the morning, yes, he hangs around all day long

Give me some toads'n' frogs' hips
I'm gonna, gonna, put it all together
I'm gonna, gonna mix it up together
I'm gonna, gonna whup it all up good
I'm gonna, gonna kill that ol' dirty Groundhog

I bet'cha my bottom dollar then man, he, he won't root there no more

Na he ain't gonna root no more there

I said goodbye baby, Lord, I'm leavin' you now
I said goodbye baby, Lord, I'm leavin' you now
I done did what I want to done, killed that dirty ground hog

Yes he's through!
",blues
blues.00008.txt,"Shake it Baby
Shake it Baby
Shake it Baby
Show me
Show me
C'mon Gal
Shake it right now

W-A-A-A-A-A-A-A-H Yeah!
Shake it Baby
Shake it Baby
Shake that thing

Me an' you
Me an' you
Nobody else would do
Nobody else but you
Shake it Baby
Shake it Baby
Shake it Baby
One time
One time for me
Now rock!

Ha-ha-ha
Shake that thing, Baby
One time for your Daddy
I love ya
You're cookin' when you jive
Honey, you're workin'
You've got the pots on
And the gas workin' high

One time for me
One time for me
One time for me
Shake Baby
Shake it Baby
Shake it Baby
Shake it Baby
Shake that thing
Shake that thing
Shake that thing
Shake that thing
One time, Baby
One time
One time
One time
One time
One more time
One more
An' one more
An' one more
One more time
One more time
One more time
One more time
One more time
One more time
Just one more time
And, uh, one more time
Once again
One time
And one more time
And one more time
And one more time
One more time, Baby
Shake it Baby
One more time
For me
For me
For me
For me
For me
For me
",blues
blues.00009.txt,"It's my own fault darlin', that you treat me the way you do
It's my own fault darlin', caused you treat me the way you do
When you left me darlin', I was callin' from town to town
Ooh, won't you give me one more chance
Ooh baby, won't you give me one more chance
Baby, I'll prove that I'm in love with you, you know I'll be travelin' no more
It's my own fault darlin', I made you treat me the way you do
It's my own fault darlin', I made you treat me the way you do
Baby I go alone, I just realized, all I did
Oh goodbye baby, I know we may never meet again
Oh goodbye baby, I know we may never meet again
But it's my own fault darlin', I made you treat me the way you did
",blues
